,Tweet ID,Usuario,Contenido,Fecha,Lenguaje,Sentimiento,texto_limpio,negativemdeberta,positivemdeberta,sentiment_labelmdeberta,negativedeberta,positivedeberta,sentiment_labeldeberta,negativeroberta,positiveroberta,sentiment_labelroberta,negativebart,positivebart,sentiment_labelbart
0,768213567418036224,anahorxn,"@myendlesshazza a. que puto mal escribo

b. me sigo surrando help 

3. ha quedado raro el ""cómetelo"" ahí JAJAJAJA",2016-08-23 22:29:21,es,negative,puto mal escribo b sigo surrando help 3 quedado raro cómetelo ahí jajajaja,0.7287729382514954,0.27122706174850464,negative,0.730793297290802,0.2692066729068756,negative,0.7259466052055359,0.2740533649921417,negative,0.7212527990341187,0.27874717116355896,negative
1,768212591105703936,martitarey13,@estherct209 jajajaja la tuya y la d mucha gente seguro!! Pero yo no puedo sin mi melena me muero ,2016-08-23 22:25:29,es,negative,jajajaja d mucha gente seguro puedo melena muero,0.6813939213752747,0.31860610842704773,negative,0.7308626174926758,0.2691374123096466,negative,0.4901164770126343,0.5098835229873657,positive,0.3341105878353119,0.6658893823623657,positive
2,768221670255493120,endlessmilerr,Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps ,2016-08-23 23:01:33,es,positive,quiero mogollón sobretodo rápido contesta wasaps,0.5466557741165161,0.4533442556858063,negative,0.4960806667804718,0.5039193034172058,positive,0.36668822169303894,0.6333118081092834,positive,0.45875534415245056,0.541244626045227,positive
3,768221021300264964,JunoWTFL,Vale he visto la tia bebiendose su regla y me hs dado muchs grima ,2016-08-23 22:58:58,es,negative,vale visto tia bebiendose regla hs dado muchs grima,0.7213491201400757,0.27865082025527954,negative,0.7285677194595337,0.2714322805404663,negative,0.35895028710365295,0.6410497426986694,positive,0.5107499361038208,0.4892500936985016,negative
4,768220253730009091,Alis_8496,@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal ,2016-08-23 22:55:55,es,positive,ah supuesto solo incluyo entendido mal,0.727660059928894,0.27233994007110596,negative,0.5943249464035034,0.4056750237941742,negative,0.7249263525009155,0.2750735878944397,negative,0.6907963752746582,0.3092035949230194,negative
5,768224728049999872,caval100,"Se ha terminado #Rio2016 Lamentablemente no arriendo las ganancias al pueblo brasileño por la penuria que les espera 
Suerte y solidaridad",2016-08-23 23:13:42,es,negative,terminado rio2016 lamentablemente arriendo ganancias pueblo brasileño penuria espera suerte solidaridad,0.7293708920478821,0.27062907814979553,negative,0.730976939201355,0.2690230906009674,negative,0.725188136100769,0.27481189370155334,negative,0.729795515537262,0.2702045440673828,negative
6,768231706746912769,mgcsunshine,11. siiii fue super gracioso teniamos que habernos sacado una foto ,2016-08-23 23:41:26,es,positive,11 siiii super gracioso teniamos habernos sacado foto,0.2727370858192444,0.7272629141807556,positive,0.26906338334083557,0.7309367060661316,positive,0.27374857664108276,0.7262514233589172,positive,0.26965948939323425,0.7303405404090881,positive
7,768231229439311872,__LOST_PRINCESS,@toNi_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,2016-08-23 23:39:32,es,negative,seria mejor dejasen emitir basura evolucionar bien,0.5027124285697937,0.49728766083717346,negative,0.7235579490661621,0.2764420807361603,negative,0.2994529604911804,0.7005470395088196,positive,0.297410249710083,0.7025898098945618,positive
8,768231166965145600,ConLDeLucifer_,"@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora ",2016-08-23 23:39:17,es,negative,mandaria comprarte burro creo tiendas abiertas ahora,0.6032277345657349,0.39677223563194275,negative,0.4925575852394104,0.5074423551559448,positive,0.3491853177547455,0.6508146524429321,positive,0.40975216031074524,0.5902478098869324,positive
9,768230914233143296,AranchaGarcia97,Mg y pongo un adjetivo super repelente a vuestro nombre ,2016-08-23 23:38:17,es,negative,mg pongo adjetivo super repelente nombre,0.7298707365989685,0.2701292634010315,negative,0.7308771014213562,0.2691229283809662,negative,0.6527518033981323,0.3472481966018677,negative,0.676341712474823,0.3236583471298218,negative
10,768224471127826432,desimaestre_,@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que ,2016-08-23 23:12:41,es,negative,voz maría final mata jajajsjajajaj quilla,0.7271329164505005,0.2728671431541443,negative,0.5073867440223694,0.492613285779953,negative,0.4820711314678192,0.5179288983345032,positive,0.4984731376171112,0.5015268921852112,positive
11,768223726739611652,BISQUERT1982,@EduGalan14  Jaja.Es de bien nacidos ser agradecidos que diría aquel.Tiene el récord de puntos del VCF.Creo q cumplió con lo que había.,2016-08-23 23:09:44,es,positive,jajaes bien nacidos ser agradecidos diría aqueltiene récord puntos vcfcreo q cumplió,0.2709164619445801,0.7290834784507751,positive,0.2691969871520996,0.7308029532432556,positive,0.2791748046875,0.7208252549171448,positive,0.2696988582611084,0.7303010821342468,positive
12,768223225453084674,nefariuss,"@misscatingcat Bueno, al menos has acabado la noche con una hermosa vista  Ami tambien me gusta verlos por la noche ^^",2016-08-23 23:07:44,es,positive,bueno menos acabado noche hermosa vista ami tambien gusta verlos noche,0.26972779631614685,0.7302722334861755,positive,0.269890159368515,0.7301098704338074,positive,0.2954384684562683,0.7045615315437317,positive,0.26962029933929443,0.7303797006607056,positive
13,768223146868703232,ITSMENDESWORLD,@mendescodes @heroinseb enserio cuando habéis dicho que los froot loops están malos me ha dolido... ,2016-08-23 23:07:25,es,negative,enserio dicho froot loops malos dolido,0.7296804189682007,0.2703196108341217,negative,0.7309976816177368,0.2690022587776184,negative,0.7054672837257385,0.2945326566696167,negative,0.5845212936401367,0.4154787063598633,negative
